person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
48,27612,RENT,,EDUCATION,E,5668,18.09,0.205,N,25,1
37,79037,OWN,1.4,PERSONAL,D,23021,16.21,0.291,N,20,0
45,16720,RENT,0.5,VENTURE,C,24664,,1.475,N,5,1
63,58270,RENT,8.5,DEBTCONSOLIDATION,E,7218,19.86,0.124,N,3,0
53,44218,RENT,0.5,PERSONAL,C,13723,12.69,0.31,N,6,0
29,64436,RENT,1.7,EDUCATION,D,19776,17.35,0.307,N,13,0
55,41694,OWN,0.2,DEBTCONSOLIDATION,D,2467,16.62,0.059,N,26,0
33,57601,RENT,7.6,MEDICAL,E,30232,19.47,0.525,N,10,0
50,32580,RENT,0.2,VENTURE,A,9599,6.05,0.295,N,25,0
34,47711,RENT,1.8,PERSONAL,C,4305,13.08,0.09,N,26,0
27,64151,RENT,4.3,DEBTCONSOLIDATION,B,34835,10.91,0.543,N,26,0
33,53262,RENT,2.6,VENTURE,B,25439,10.14,0.478,N,13,0
42,60425,RENT,1.7,DEBTCONSOLIDATION,B,21565,8.37,0.357,N,14,0
59,29426,OWN,1.6,VENTURE,D,702,17.18,0.024,N,26,0
40,35423,RENT,8.0,PERSONAL,B,2431,10.91,0.069,Y,14,0
35,35762,RENT,,MEDICAL,B,23972,8.2,0.67,N,27,0
64,42105,MORTGAGE,2.1,VENTURE,A,27632,7.15,0.656,N,19,0
37,103488,RENT,0.2,MEDICAL,A,14165,7.98,0.137,Y,20,0
43,40344,RENT,0.2,MEDICAL,C,28953,,0.718,N,21,0
45,26135,MORTGAGE,7.1,EDUCATION,A,20321,5.41,0.778,N,2,0
44,66032,RENT,4.0,DEBTCONSOLIDATION,A,34445,5.71,0.522,N,23,0
64,102811,MORTGAGE,7.7,PERSONAL,B,19877,,0.193,N,13,0
60,24497,MORTGAGE,6.0,EDUCATION,A,26640,8.12,1.087,N,3,1
48,145080,MORTGAGE,11.9,HOMEIMPROVEMENT,A,2912,5.7,0.02,Y,5,0
34,61595,OWN,,DEBTCONSOLIDATION,E,26009,17.7,0.422,Y,6,1
64,86564,RENT,7.8,EDUCATION,D,28106,15.64,0.325,N,21,0
20,109852,RENT,3.2,VENTURE,B,17391,10.83,0.158,N,23,0
44,83695,RENT,1.8,VENTURE,B,18271,12.1,0.218,N,27,0
26,46129,RENT,3.5,VENTURE,E,4529,19.11,0.098,N,11,1
28,95772,MORTGAGE,3.5,HOMEIMPROVEMENT,A,17134,6.19,0.179,Y,23,0
43,56389,MORTGAGE,4.7,MEDICAL,C,9177,12.04,0.163,N,26,0
20,89300,MORTGAGE,1.0,VENTURE,C,33464,14.65,0.375,N,26,0
63,94838,MORTGAGE,5.3,DEBTCONSOLIDATION,D,5985,14.48,0.063,N,2,0
27,26903,RENT,3.0,DEBTCONSOLIDATION,F,28692,22.23,1.066,N,11,1
43,75876,MORTGAGE,4.8,EDUCATION,B,28126,11.58,0.371,N,16,0
30,44354,MORTGAGE,1.4,MEDICAL,B,12298,9.81,0.277,N,9,0
36,52891,MORTGAGE,,EDUCATION,C,15090,11.7,0.285,N,22,0
27,52570,RENT,,EDUCATION,F,10920,22.64,0.208,N,18,0
54,51422,MORTGAGE,10.4,VENTURE,E,29025,19.12,0.564,N,13,1
54,113316,RENT,3.3,EDUCATION,C,18828,13.56,0.166,N,6,0
52,23120,MORTGAGE,1.3,HOMEIMPROVEMENT,D,17946,16.69,0.776,N,7,1
24,19009,MORTGAGE,0.2,DEBTCONSOLIDATION,A,13342,7.62,0.702,N,17,0
61,16927,RENT,5.6,DEBTCONSOLIDATION,B,1729,10.36,0.102,N,8,0
58,88258,MORTGAGE,1.2,DEBTCONSOLIDATION,A,32241,7.81,0.365,N,20,1
60,32035,OWN,22.8,MEDICAL,A,31251,8.62,0.976,N,10,1
47,52717,RENT,3.8,VENTURE,C,32881,12.06,0.624,N,20,0
26,46023,OWN,1.7,VENTURE,E,1956,18.68,0.043,N,18,0
28,30106,MORTGAGE,5.4,EDUCATION,C,25077,13.95,0.833,N,20,0
27,78300,MORTGAGE,1.6,EDUCATION,C,34802,12.91,0.444,N,24,1
31,45701,OWN,8.6,PERSONAL,A,25378,5.48,0.555,N,11,0
53,43012,MORTGAGE,1.8,PERSONAL,C,5082,13.4,0.118,N,18,0
52,55719,MORTGAGE,,VENTURE,B,25465,9.41,0.457,N,15,1
42,72869,RENT,4.6,VENTURE,C,29000,15.54,0.398,Y,15,0
43,28927,RENT,,EDUCATION,B,23757,11.19,0.821,N,21,1
56,79229,MORTGAGE,0.4,HOMEIMPROVEMENT,C,11473,14.39,0.145,N,24,0
54,108816,OWN,,HOMEIMPROVEMENT,B,3059,10.05,0.028,N,16,0
63,22373,OWN,6.7,DEBTCONSOLIDATION,C,17873,13.37,0.799,Y,28,1
59,57128,MORTGAGE,5.3,EDUCATION,A,33192,6.59,0.581,N,29,0
41,41452,MORTGAGE,1.1,PERSONAL,B,3197,8.99,0.077,N,20,0
46,72011,RENT,2.2,PERSONAL,B,31988,8.91,0.444,N,8,0
54,25105,OTHER,1.5,HOMEIMPROVEMENT,D,22715,18.56,0.905,N,17,0
20,120080,RENT,4.8,VENTURE,C,23736,13.48,0.198,N,21,0
54,20244,MORTGAGE,2.1,EDUCATION,E,7094,17.41,0.35,N,24,1
56,42857,MORTGAGE,1.8,DEBTCONSOLIDATION,C,31584,14.15,0.737,Y,10,1
33,62246,MORTGAGE,1.2,DEBTCONSOLIDATION,B,20643,13.15,0.332,N,27,1
22,33607,RENT,2.6,VENTURE,D,17823,14.16,0.53,N,22,0
20,30826,OWN,1.1,PERSONAL,B,21915,10.72,0.711,N,20,0
24,55394,MORTGAGE,16.4,HOMEIMPROVEMENT,A,32096,5.65,0.579,N,18,0
45,51162,OWN,0.8,VENTURE,D,23678,17.39,0.463,N,20,0
33,49181,RENT,12.2,PERSONAL,A,4439,,0.09,N,21,0
58,78611,MORTGAGE,2.8,PERSONAL,A,29529,7.09,0.376,N,13,0
46,39459,MORTGAGE,2.4,DEBTCONSOLIDATION,D,3414,,0.087,N,3,0
28,58441,MORTGAGE,1.3,PERSONAL,D,34303,,0.587,N,5,0
34,37099,OWN,5.0,VENTURE,D,34458,16.53,0.929,N,22,1
34,30726,RENT,5.8,MEDICAL,B,33536,9.44,1.091,N,9,0
45,41914,RENT,3.2,HOMEIMPROVEMENT,E,33267,21.07,0.794,Y,12,1
61,37260,MORTGAGE,0.3,PERSONAL,C,19025,11.29,0.511,Y,12,1
32,38298,RENT,12.5,VENTURE,D,22790,17.09,0.595,N,29,1
51,93053,OTHER,19.6,DEBTCONSOLIDATION,C,1836,12.88,0.02,N,13,0
58,42626,RENT,2.8,EDUCATION,C,13023,14.55,0.306,N,6,1
51,34043,MORTGAGE,4.8,DEBTCONSOLIDATION,A,21039,8.58,0.618,N,19,0
23,49783,RENT,3.0,HOMEIMPROVEMENT,C,17579,,0.353,N,16,0
49,51913,MORTGAGE,1.9,EDUCATION,C,1883,,0.036,N,18,0
56,25519,RENT,0.4,EDUCATION,B,32476,11.09,1.273,N,10,1
42,41600,RENT,3.0,DEBTCONSOLIDATION,D,12410,16.63,0.298,N,5,0
58,40689,RENT,8.5,VENTURE,C,31964,12.86,0.786,N,15,0
64,44592,RENT,0.1,DEBTCONSOLIDATION,C,10826,12.0,0.243,N,10,0
34,73060,OTHER,4.4,MEDICAL,B,3679,10.44,0.05,Y,10,0
62,52847,RENT,10.6,VENTURE,A,3196,5.67,0.06,Y,18,0
48,96313,MORTGAGE,1.2,VENTURE,A,9078,7.78,0.094,N,13,0
55,48707,OTHER,1.0,HOMEIMPROVEMENT,D,29234,17.33,0.6,N,8,1
32,130202,MORTGAGE,7.4,VENTURE,A,4825,6.01,0.037,Y,28,0
51,38046,OTHER,1.5,HOMEIMPROVEMENT,A,19306,6.5,0.507,N,13,0
26,32104,OWN,1.1,PERSONAL,G,9077,,0.283,N,13,0
41,66238,MORTGAGE,2.4,HOMEIMPROVEMENT,A,34329,,0.518,N,7,0
47,103802,MORTGAGE,2.5,VENTURE,C,17984,13.07,0.173,N,17,0
21,22963,RENT,10.4,PERSONAL,E,26542,18.56,1.156,N,3,1
61,43987,RENT,4.8,PERSONAL,C,10484,13.78,0.238,N,11,0
64,35033,MORTGAGE,2.6,MEDICAL,D,21016,15.42,0.6,N,5,1
25,53027,MORTGAGE,3.8,DEBTCONSOLIDATION,F,5004,21.76,0.094,N,6,0
47,49291,MORTGAGE,15.4,VENTURE,E,16209,17.66,0.329,N,6,1
47,102740,MORTGAGE,,EDUCATION,C,29131,14.01,0.284,N,8,1
63,46183,RENT,,DEBTCONSOLIDATION,B,34111,8.69,0.739,N,27,1
63,104415,OWN,16.4,VENTURE,B,6082,11.72,0.058,N,3,0
39,41220,MORTGAGE,15.8,EDUCATION,D,5149,16.29,0.125,N,20,0
49,81598,RENT,1.0,DEBTCONSOLIDATION,D,12211,15.81,0.15,N,19,0
30,55590,OWN,0.8,MEDICAL,D,23076,15.98,0.415,N,8,1
47,126935,RENT,2.7,VENTURE,C,3642,,0.029,Y,15,0
44,21755,MORTGAGE,0.3,DEBTCONSOLIDATION,B,17129,8.38,0.787,Y,16,1
58,25845,MORTGAGE,5.3,MEDICAL,B,5610,8.47,0.217,N,24,0
52,134241,RENT,0.4,EDUCATION,A,22903,8.15,0.171,N,26,0
20,32751,MORTGAGE,0.3,HOMEIMPROVEMENT,D,14897,,0.455,N,21,0
46,33914,MORTGAGE,,VENTURE,A,30051,6.11,0.886,Y,16,1
32,30283,RENT,15.8,PERSONAL,B,9033,9.47,0.298,Y,21,0
60,92193,RENT,2.8,PERSONAL,D,32100,17.35,0.348,Y,23,0
22,24602,OWN,2.2,MEDICAL,A,32900,7.97,1.337,N,29,0
58,49629,RENT,31.0,HOMEIMPROVEMENT,E,25801,18.83,0.52,N,15,0
25,42357,OWN,3.8,PERSONAL,A,3386,7.48,0.08,N,4,0
27,86689,RENT,2.4,PERSONAL,E,10438,19.45,0.12,N,4,0
46,35953,MORTGAGE,2.4,VENTURE,B,23653,8.8,0.658,N,26,0
28,61598,OWN,1.1,PERSONAL,A,16364,5.88,0.266,N,24,0
56,25740,RENT,3.6,EDUCATION,C,26221,10.56,1.019,N,13,0
52,171213,MORTGAGE,2.9,MEDICAL,E,10587,20.79,0.062,N,26,0
61,42968,MORTGAGE,1.6,DEBTCONSOLIDATION,B,17550,9.2,0.408,N,3,0
63,49257,MORTGAGE,0.9,PERSONAL,C,33621,13.02,0.683,Y,5,1
43,121797,MORTGAGE,1.9,VENTURE,F,10914,22.65,0.09,Y,9,1
34,35501,MORTGAGE,3.6,DEBTCONSOLIDATION,A,31233,5.83,0.88,N,10,1
51,122646,MORTGAGE,0.3,EDUCATION,D,27802,14.98,0.227,Y,4,0
51,39092,MORTGAGE,0.8,DEBTCONSOLIDATION,B,3597,8.89,0.092,Y,25,0
43,70928,MORTGAGE,14.7,PERSONAL,B,25119,6.52,0.354,N,25,1
60,35775,RENT,3.9,MEDICAL,B,10296,9.92,0.288,N,4,0
31,23252,OTHER,0.3,MEDICAL,B,31257,12.8,1.344,Y,12,1
58,61575,RENT,5.9,MEDICAL,A,26204,6.36,0.426,Y,25,0
21,69699,RENT,0.3,PERSONAL,B,14175,9.4,0.203,N,7,0
22,23771,RENT,,EDUCATION,B,16563,9.56,0.697,N,26,1
56,41403,RENT,,HOMEIMPROVEMENT,C,24139,,0.583,N,2,1
36,94884,RENT,5.3,DEBTCONSOLIDATION,C,25733,14.06,0.271,N,10,0
21,68190,RENT,6.6,MEDICAL,C,14582,12.0,0.214,N,25,0
21,39443,RENT,0.5,EDUCATION,B,2886,10.56,0.073,N,13,0
47,35290,MORTGAGE,6.5,VENTURE,F,18746,,0.531,N,14,1
42,143133,RENT,0.7,VENTURE,B,7519,10.36,0.053,N,15,0
56,22118,RENT,2.1,EDUCATION,A,22709,7.54,1.027,N,27,1
51,47450,RENT,14.3,VENTURE,C,18547,11.83,0.391,N,9,0
52,21903,RENT,3.5,VENTURE,D,28069,15.37,1.282,Y,25,1
20,101027,RENT,17.1,MEDICAL,A,24416,7.55,0.242,N,16,0
38,48829,MORTGAGE,0.5,PERSONAL,A,24502,6.83,0.502,N,11,0
21,54067,OWN,3.2,PERSONAL,D,1904,16.95,0.035,N,24,0
63,224782,OWN,0.3,PERSONAL,B,33572,9.73,0.149,N,20,0
45,35368,OWN,5.0,PERSONAL,B,22424,11.21,0.634,Y,7,1
51,128247,RENT,0.4,EDUCATION,E,29000,16.64,0.226,N,17,0
25,39541,RENT,1.0,MEDICAL,A,34482,7.39,0.872,N,11,1
51,43112,RENT,1.5,EDUCATION,C,32371,11.45,0.751,N,25,0
23,209189,MORTGAGE,,DEBTCONSOLIDATION,B,13043,11.35,0.062,N,14,0
30,44864,RENT,0.9,DEBTCONSOLIDATION,A,1197,6.82,0.027,N,9,0
36,23019,MORTGAGE,9.4,VENTURE,A,15468,6.59,0.672,N,5,1
57,57242,RENT,0.7,MEDICAL,C,20885,12.01,0.365,N,9,0
43,44577,RENT,0.2,HOMEIMPROVEMENT,A,7299,7.8,0.164,N,9,0
24,59988,OTHER,2.5,PERSONAL,C,30010,13.68,0.5,N,12,1
53,45547,MORTGAGE,19.4,DEBTCONSOLIDATION,F,20307,21.66,0.446,Y,2,1
25,165801,MORTGAGE,0.6,DEBTCONSOLIDATION,D,10328,16.8,0.062,Y,12,0
41,66583,MORTGAGE,0.5,VENTURE,B,17313,10.26,0.26,Y,6,1
30,27140,OWN,7.0,PERSONAL,A,13833,7.1,0.51,N,24,0
35,52496,MORTGAGE,1.9,PERSONAL,B,29077,10.94,0.554,N,16,0
52,31577,OWN,6.3,PERSONAL,B,6656,12.17,0.211,N,25,0
28,42777,RENT,1.1,DEBTCONSOLIDATION,F,23952,22.34,0.56,N,10,1
25,29710,MORTGAGE,3.1,HOMEIMPROVEMENT,G,29041,25.34,0.977,N,12,1
35,156203,MORTGAGE,1.5,VENTURE,B,11682,11.1,0.075,N,12,0
48,33514,RENT,3.0,PERSONAL,A,34488,5.86,1.029,N,16,0
22,71550,OWN,7.3,PERSONAL,E,20825,18.78,0.291,N,13,0
39,41031,OTHER,7.2,MEDICAL,D,802,15.54,0.02,N,15,0
55,25922,MORTGAGE,3.6,PERSONAL,B,27127,10.36,1.046,N,7,1
38,54650,RENT,,MEDICAL,B,8010,10.26,0.147,Y,17,1
45,61106,MORTGAGE,1.5,VENTURE,B,18962,,0.31,Y,27,0
22,66652,OWN,1.4,VENTURE,E,30825,20.8,0.462,Y,14,1
38,11588,MORTGAGE,4.8,VENTURE,A,25617,5.18,2.211,N,6,1
39,24855,RENT,4.9,MEDICAL,D,14532,16.43,0.585,N,25,0
51,83004,MORTGAGE,0.2,DEBTCONSOLIDATION,A,13854,7.85,0.167,N,23,0
26,29496,RENT,4.7,DEBTCONSOLIDATION,E,7049,19.1,0.239,N,19,1
60,54809,MORTGAGE,,HOMEIMPROVEMENT,B,22363,9.38,0.408,N,10,0
52,24540,RENT,6.9,HOMEIMPROVEMENT,A,2979,8.65,0.121,N,13,0
59,73304,MORTGAGE,8.3,DEBTCONSOLIDATION,A,27273,7.4,0.372,N,10,0
58,81813,MORTGAGE,4.0,DEBTCONSOLIDATION,C,28046,11.75,0.343,N,18,0
37,73317,RENT,0.0,PERSONAL,A,33226,8.17,0.453,N,26,0
59,86500,RENT,5.1,VENTURE,C,24311,13.56,0.281,N,22,1
20,115860,RENT,6.9,DEBTCONSOLIDATION,B,11597,9.23,0.1,N,15,0
30,25700,RENT,1.4,EDUCATION,A,29037,6.08,1.13,N,26,0
47,31768,RENT,3.1,DEBTCONSOLIDATION,B,28122,9.04,0.885,N,28,0
44,80309,OTHER,16.9,PERSONAL,C,12357,14.42,0.154,Y,14,0
42,91273,MORTGAGE,1.8,DEBTCONSOLIDATION,B,25839,10.71,0.283,N,6,1
50,33830,OWN,1.3,HOMEIMPROVEMENT,B,21890,11.15,0.647,Y,11,1
49,32560,OWN,1.2,HOMEIMPROVEMENT,C,14477,13.25,0.445,N,23,0
61,34244,RENT,4.1,VENTURE,B,28438,9.18,0.83,N,10,0
54,20276,RENT,15.0,MEDICAL,A,12546,6.05,0.619,N,14,0
26,24360,RENT,4.7,PERSONAL,A,5496,8.29,0.226,Y,8,1
35,24685,MORTGAGE,1.8,MEDICAL,A,8715,7.54,0.353,N,15,0
45,41699,MORTGAGE,5.1,HOMEIMPROVEMENT,C,24750,12.68,0.594,N,29,0
21,56894,RENT,4.9,VENTURE,B,16359,10.03,0.288,N,5,0
20,62218,RENT,4.5,HOMEIMPROVEMENT,B,17891,11.2,0.288,Y,23,0
31,37059,MORTGAGE,0.9,VENTURE,D,1617,16.68,0.044,N,9,0
24,37564,MORTGAGE,5.0,DEBTCONSOLIDATION,B,8728,9.89,0.232,N,6,0
56,52470,OWN,2.8,EDUCATION,C,9544,12.94,0.182,N,14,0
51,21529,RENT,0.1,MEDICAL,A,24191,,1.124,N,21,1
28,83091,OWN,3.9,PERSONAL,D,33901,16.03,0.408,Y,24,0
60,99405,RENT,22.7,VENTURE,C,26592,12.65,0.268,N,29,0
54,34749,MORTGAGE,2.2,DEBTCONSOLIDATION,D,22743,15.94,0.654,Y,20,1
38,39373,OWN,16.8,DEBTCONSOLIDATION,E,21864,18.35,0.555,N,21,1
35,97131,OWN,0.5,EDUCATION,D,25403,,0.262,N,16,0
22,45812,RENT,6.6,DEBTCONSOLIDATION,D,32974,17.14,0.72,Y,8,1
39,67746,RENT,0.6,DEBTCONSOLIDATION,B,30350,10.69,0.448,Y,28,1
43,46594,MORTGAGE,1.6,EDUCATION,B,24407,9.68,0.524,N,22,1
52,115378,RENT,4.2,MEDICAL,F,34298,21.61,0.297,Y,18,1
43,64186,MORTGAGE,4.5,DEBTCONSOLIDATION,E,29947,17.33,0.467,N,7,1
30,66251,OWN,7.5,VENTURE,C,27168,14.28,0.41,Y,15,1
27,66934,RENT,4.8,PERSONAL,B,27328,11.5,0.408,N,15,1
55,36123,MORTGAGE,4.5,PERSONAL,E,9916,18.89,0.275,N,26,0
57,37995,RENT,12.2,PERSONAL,B,15085,10.39,0.397,N,11,0
59,74838,OWN,3.0,HOMEIMPROVEMENT,A,11896,5.81,0.159,N,15,0
39,52550,OWN,1.3,HOMEIMPROVEMENT,C,1185,13.1,0.023,Y,20,0
54,25650,MORTGAGE,0.9,VENTURE,A,3640,,0.142,N,21,0
44,137338,RENT,,DEBTCONSOLIDATION,B,6148,9.18,0.045,N,12,0
54,83946,MORTGAGE,6.2,DEBTCONSOLIDATION,D,929,15.65,0.011,Y,11,1
44,50045,MORTGAGE,0.2,PERSONAL,B,23767,9.49,0.475,N,16,0
48,42174,RENT,0.7,EDUCATION,E,13165,18.85,0.312,N,3,1
37,54681,OWN,0.6,DEBTCONSOLIDATION,F,22606,23.27,0.413,Y,20,1
65,65162,OTHER,4.4,PERSONAL,D,12389,13.47,0.19,Y,13,1
37,16024,MORTGAGE,1.4,VENTURE,G,28169,24.36,1.758,Y,22,1
21,156653,MORTGAGE,0.9,PERSONAL,C,30920,13.76,0.197,Y,23,0
54,31747,RENT,4.5,MEDICAL,C,10082,13.23,0.318,N,19,0
35,48969,MORTGAGE,7.2,PERSONAL,D,13584,15.06,0.277,N,15,0
60,49969,RENT,2.0,DEBTCONSOLIDATION,B,11595,12.53,0.232,N,28,0
55,147011,RENT,4.3,DEBTCONSOLIDATION,B,7560,13.24,0.051,N,3,0
52,46701,RENT,0.5,EDUCATION,C,26854,12.98,0.575,N,13,0
23,117439,RENT,13.7,VENTURE,C,23712,11.81,0.202,N,23,0
52,61310,RENT,2.1,VENTURE,D,13341,15.7,0.218,N,2,1
33,28881,MORTGAGE,30.0,EDUCATION,C,22396,11.65,0.775,N,19,0
40,52790,MORTGAGE,19.2,VENTURE,D,23472,16.48,0.445,N,13,1
39,45927,MORTGAGE,7.5,PERSONAL,C,25927,13.69,0.565,N,13,1
27,27004,RENT,0.1,VENTURE,B,4496,11.18,0.166,N,5,0
26,59679,RENT,3.9,PERSONAL,A,20178,7.48,0.338,N,18,0
22,49620,MORTGAGE,0.5,VENTURE,D,23762,16.27,0.479,N,22,0
36,66571,MORTGAGE,11.3,DEBTCONSOLIDATION,A,28084,,0.422,N,17,0
52,54521,OTHER,7.8,PERSONAL,G,2078,,0.038,Y,20,1
31,34265,RENT,17.9,PERSONAL,D,21560,,0.629,N,27,0
41,74800,MORTGAGE,4.7,DEBTCONSOLIDATION,C,34563,13.1,0.462,N,2,0
41,34772,RENT,3.7,EDUCATION,F,27016,23.04,0.777,N,21,1
65,8912,MORTGAGE,3.7,EDUCATION,C,10900,14.38,1.223,Y,18,1
49,52615,OWN,2.4,DEBTCONSOLIDATION,A,30070,8.01,0.572,N,3,0
57,36143,OWN,,HOMEIMPROVEMENT,C,4362,12.56,0.121,N,12,0
57,60486,OTHER,5.0,EDUCATION,A,16972,9.23,0.281,N,27,0
64,147175,RENT,13.5,PERSONAL,B,32937,8.86,0.224,N,8,0
27,149530,MORTGAGE,4.5,PERSONAL,B,13127,8.81,0.088,Y,2,0
46,44765,MORTGAGE,9.7,VENTURE,D,11810,16.92,0.264,N,7,0
46,31114,MORTGAGE,9.9,VENTURE,B,30951,11.69,0.995,N,21,1
53,67614,RENT,3.7,HOMEIMPROVEMENT,B,22764,12.15,0.337,Y,7,0
40,39989,OWN,2.1,PERSONAL,B,33684,11.2,0.842,N,29,0
49,60808,OWN,5.1,HOMEIMPROVEMENT,C,27640,13.88,0.455,N,6,0
52,34082,RENT,3.0,PERSONAL,A,23799,7.98,0.698,N,28,1
47,56267,RENT,0.4,EDUCATION,A,11173,6.67,0.199,Y,12,0
52,31363,RENT,2.4,VENTURE,D,32654,15.04,1.041,N,23,1
24,94027,MORTGAGE,25.6,DEBTCONSOLIDATION,B,8317,10.33,0.088,N,6,0
38,35437,RENT,0.2,DEBTCONSOLIDATION,A,13166,5.0,0.372,N,3,0
23,70516,OWN,6.0,HOMEIMPROVEMENT,B,15725,9.63,0.223,N,11,0
54,24449,MORTGAGE,9.2,MEDICAL,C,30343,12.36,1.241,Y,15,0
36,75330,MORTGAGE,5.2,DEBTCONSOLIDATION,D,6419,16.7,0.085,N,21,0
